IDpais|ubicacion|Idrecinto|capacidad
3441|Los Angeles|47|78371
3441|Los Angeles|32|10714
3441|Nueva York|6|98539
3441|Orlando|58|36902
3441|Portland|3|149087
3441|Arkansas|67|4484
3441|Nueva York|17|87417
2136|Ciudad Guatemala|24|4571
2136|Quetzaltenango|3|47719
2136|Ciudad Guatemala|39|79040
7869|Ciudad de Mexico|13|143383
7869|Ciudad de Mexico|91|125326
7869|Ciudad de Mexico|44|60653
7869|Ciudad de Mexico|33|142349
8764|Londres|62|39896
8764|Manchester|41|18738
8764|Liverpool|82|123218
8764|Liverpool|23|106722
8764|Manchester|28|2565
8764|Londres|25|111789
1234|Medellin|17|32800
1234|Cartagena|12|88681
1234|Cartagena|20|43262
2345|La Habana|72|5886
